199815,1
199816,2
199835,2
199839,1
199850,1
199916,1
199940,1
199941,1
200006,1
200007,1
200008,1
200009,1
200010,1
200014,3
200016,6
200017,2
200018,4
200019,2
200020,2
200021,1
200022,5
200023,11
200024,1
200025,1
200031,8
200032,4
200036,3
200037,5
200038,7
200039,3
200040,2
200041,6
200042,4
200043,1
200044,3
200045,2
200046,3
200047,4
200048,1
200049,3
200050,5
200051,7
200053,4
200101,3
200102,18
200104,13
200105,11
200106,1
200107,1
200109,7
200111,1
200113,5
200114,1
200115,2
200118,5
200119,1
200121,4
200122,4
200124,1
200125,1
200126,3
200127,1
200128,5
200129,10
200130,7
200131,15
200132,6
200133,3
200134,2
200135,4
200136,2
200137,4
200138,4
200139,6
200140,9
200141,3
200142,14
200143,9
200144,2
200145,4
200146,3
200147,5
200148,3
200150,1
200152,2
200201,6
200202,5
200203,3
200204,4
200205,6
200206,1
200207,3
200208,1
200209,4
200210,7
200211,1
200212,5
200213,3
200214,6
200215,1
200216,7
200217,13
200218,10
200219,12
200220,3
200221,5
200222,8
200223,4
200224,1
200225,1
200226,1
200227,1
200228,2
200229,3
200230,2
200231,3
200232,2
200233,1
200234,1
200235,8
200236,4
200237,7
200238,6
200239,9
200240,2
200243,3
200244,1
200245,7
200246,3
200247,5
200248,5
200249,7
200250,7
200251,1
200252,6
200301,2
200303,2
200304,6
200305,8
200306,11
200307,4
200308,7
200309,8
200310,10
200311,6
200312,2
200313,1
200314,6
200315,2
200316,8
200318,5
200319,2
200320,10
200321,3
200322,8
200323,5
200324,6
200325,8
200326,2
200327,18
200328,14
200330,4
200332,3
200335,1
200336,1
200337,2
200338,2
200340,1
200341,8
200342,2
200343,4
200344,6
200345,2
200346,2
200347,3
200348,2
200349,6
200350,2
200352,2
200401,3
200402,5
200403,2
200404,4
200405,8
200406,2
200407,1
200408,1
200409,5
200410,10
200411,4
200412,2
200413,5
200414,3
200415,1
200416,6
200417,15
200419,3
200420,1
200421,1
200422,1
200423,3
200424,1
200425,2
200426,4
200427,3
200428,4
200429,2
200430,2
200431,7
200432,4
200433,7
200435,3
200436,4
200437,1
200438,2
200439,4
200440,2
200441,4
200442,3
200443,2
200444,1
200445,3
200446,1
200447,3
200448,5
200449,1
200450,2
200451,2
200452,2
200501,7
200502,1
200503,3
200504,3
200505,4
200506,4
200508,1
200509,4
200510,7
200511,2
200512,3
200513,3
200515,2
200516,1
200517,1
200518,1
200519,2
200520,6
200521,2
200522,5
200523,3
200524,4
200525,3
200526,4
200527,2
200528,4
200529,6
200530,178
200531,2
200532,5
200533,4
200534,7
200535,1
200537,1
200538,1
200539,1
200540,9
200541,9
200542,13
200543,2
200544,6
200545,14
200546,4
200547,2
200548,3
200549,3
200550,2
200551,2
200552,1
200601,10
200602,6
200603,7
200604,3
200605,3
200606,20
200607,2
200608,8
200609,5
200610,3
200611,1
200612,1
200613,7
200614,5
200615,4
200616,5
200617,6
200618,2
200619,6
200620,2
200621,1
200622,3
200623,1
200624,1
200625,2
200626,4
200627,2
200628,3
200629,6
200631,6
200632,5
200634,3
200635,4
200636,2
200637,2
200638,2
200639,3
200640,5
200641,2
200642,3
200643,4
200644,4
200645,3
200646,1
200647,1
200649,1
200650,4
200651,1
200653,2
200701,2
200702,1
200703,3
200704,3
200705,5
200706,2
200707,7
200708,2
200709,2
200710,1
200711,9
200712,3
200713,7
200714,3
200715,4
200717,3
200719,2
200720,3
200721,4
200722,5
200724,2
200725,3
200726,3
200728,2
200730,1
200732,7
200733,4
200734,1
200735,1
200738,3
200739,2
200740,3
200741,4
200743,11
200744,4
200745,5
200746,7
200747,2
200748,3
200749,1
200750,2
200751,1
200752,3
200801,3
200803,1
200804,1
200805,2
200807,1
200808,1
200810,1
200814,1
200815,1
200822,3
200823,5
200824,1
200826,1
200829,1
200834,1
200835,1
200837,1
